model,technique,shot,cap,aspect,n,mean_latency_s,precision,recall,f1,rouge1_model,rouge2_model,rougeL_model,rouge1_oracle,rouge2_oracle,rougeL_oracle,oracle_gap_rougeL
gemma4_e2b,explanation_based,zero_shot,capped,outcome,100,2.943145205061883,0.7483333333333335,0.6210923520923519,0.6520631035631029,0.2881446907104662,0.13848549809042163,0.22153997481602836,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.20693159511906434
gemma4_e2b,explanation_based,zero_shot,capped,union,100,2.943145205061883,0.7114645354645356,0.5846225947628896,0.6334176706353695,0.29942355776783,0.1348175606197553,0.1882033758238358,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.1673999981642806
gemma4_e2b,explanation_based,zero_shot,uncapped,approach,100,3.0695903954841195,0.6537582417582416,0.7293199855699853,0.6559865568727793,0.2058851525858801,0.11173268308985948,0.16522831300781,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.28095010782607316
gemma4_e2b,explanation_based,zero_shot,uncapped,challenge,100,3.0695903954841195,0.4546904761904761,0.5195873015873016,0.4516010656010654,0.22017668538350776,0.0868119104130321,0.1632230789158586,0.4220026765441394,0.226199582941474,0.37142590290099414,0.20820282398513557
gemma4_e2b,explanation_based,zero_shot,uncapped,outcome,100,3.0695903954841195,0.7038116883116882,0.734641414141414,0.684531584686383,0.26149816950188176,0.12988738889292809,0.20329921921077287,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.22517235072432
gemma4_e2b,explanation_based,zero_shot,uncapped,union,100,3.0695903954841195,0.6623688454046812,0.6936061860732405,0.6656716319487705,0.2610674661663322,0.12031612945403075,0.16866020323729797,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.1869431707508184
gemma4_e2b,least_to_most,one_shot,capped,approach,100,2.8584718943655023,0.6670000000000001,0.5887395382395383,0.6018120327385028,0.23653191189191167,0.12384806009866557,0.18901824974494116,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2571601710889421
gemma4_e2b,least_to_most,one_shot,capped,challenge,100,2.8584718943655023,0.49083333333333334,0.42033730158730154,0.42720462870462855,0.24862753762887027,0.09375291810644873,0.18214030874903586,0.4220026765441394,0.226199582941474,0.37142590290099414,0.18928559415195834
gemma4_e2b,least_to_most,one_shot,capped,outcome,100,2.8584718943655023,0.7166666666666667,0.5585883838383837,0.5895354645354641,0.28762282828793323,0.1298288087827749,0.22193739740904292,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.20653417252604986
gemma4_e2b,least_to_most,one_shot,capped,union,100,2.8584718943655023,0.7180086857586855,0.5474423069564407,0.6106963979662152,0.3111899072726237,0.13725235991091547,0.19570367489294813,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.15989969909516824
gemma4_e2b,least_to_most,one_shot,uncapped,approach,100,3.672334207444219,0.6445153457653459,0.630333694083694,0.6057962692622133,0.22317468366214235,0.11931618517246796,0.18061625198794726,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.265562168845936
gemma4_e2b,least_to_most,one_shot,uncapped,challenge,100,3.672334207444219,0.46441269841269844,0.4649087301587302,0.4221347312817898,0.22362196331417658,0.08623437747326232,0.1646271608372783,0.4220026765441394,0.226199582941474,0.37142590290099414,0.20679874206371582
gemma4_e2b,least_to_most,one_shot,uncapped,outcome,100,3.672334207444219,0.6544790764790765,0.6505140692640693,0.6164051504051499,0.24622764649730622,0.11291935923306676,0.18975025095861997,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.23872131897647275
gemma4_e2b,least_to_most,one_shot,uncapped,union,100,3.672334207444219,0.6958523234934998,0.6187615127726851,0.6392684320436107,0.28289874542280474,0.1268214021370061,0.18248818492339336,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.17311518906472298
gemma4_e2b,least_to_most,zero_shot,capped,approach,100,2.486894246871816,0.6856666666666668,0.6417626262626261,0.6369412760442168,0.22953087546866344,0.12295157493416628,0.1822664992031551,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2639119216307282
gemma4_e2b,least_to_most,zero_shot,capped,challenge,100,2.486894246871816,0.5266666666666667,0.4709206349206348,0.4682387612387611,0.24876974288435283,0.09804249107732341,0.18522001344989492,0.4220026765441394,0.226199582941474,0.37142590290099414,0.18620588945109925
gemma4_e2b,least_to_most,zero_shot,capped,outcome,100,2.486894246871816,0.7433333333333334,0.6242312409812408,0.6538110778110772,0.2883060820817231,0.13907336062551903,0.22098724410180184,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.20748432583329093
gemma4_e2b,least_to_most,zero_shot,capped,union,100,2.486894246871816,0.7180189532689534,0.5994075117143669,0.6449973955941162,0.298085166780496,0.1352813405267503,0.18791263742977146,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.16769073655834485
gemma4_e2b,least_to_most,zero_shot,uncapped,approach,100,3.730752071269089,0.6133588217338217,0.7302485569985566,0.6308480535520171,0.1955474991527054,0.1068031773575722,0.15728734397644709,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.28889107685743604
